Name,NAME,cleaned,Status,Institution,Program,Place
A T Still U Arizona PTCAS,A T Still University Arizona,Still University Arizona,not present,U Arizona,A T Still  PTCAS,
A T Still U Arizona Sch Hlth Sci CSDCAS,A T Still University Arizona School Health Sciences,Still University Arizona School Health Sciences,not present,,A T Still U Arizona Sch Hlth Sci CSDCAS,
A T Still U Arizona Sch Hlth Sci OTCAS,A T Still University Arizona School Health Sciences,Still University Arizona School Health Sciences,not present,,A T Still U Arizona Sch Hlth Sci OTCAS,
A T Still U ASHS CASPA,A T Still University Arizona School Health Sciences,Still University Arizona School Health Sciences,not present,,A T Still U ASHS CASPA,
A T Still U Sch Health Mgmt,A T Still University School Health Management,Still University School Health Management,not present,,A T Still U Sch Health Mgmt,
Academy Urban Sch Leadership Fellowship,Academy Urban School Leadership Fellowship,Academy Urban School Leadership Fellowship,not present,,Academy Urban Sch Leadership Fellowship,
ACHE Sch Physical Therapy,ACHE School Physical Therapy,ACHE School Physical Therapy,not present,,ACHE Sch Physical Therapy,
Acton Sch Bus,Acton School of Business,Acton School Business,not present,,Acton Sch Bus,
Adler Sch Professional Psych,Adler School Professional Psychology,Adler School Professional Psychology,not present,,Adler Sch Professional Psych,
Adventist U Hlth Sci,Adventist University Health Sciences,Adventist University Health Sciences,not present,,Adventist U Hlth Sci,
Adventist U Hlth Sci CASPA,Adventist University Health Sciences,Adventist University Health Sciences,not present,Sci CASPA,Adventist U Hlth,
Adventist U Hlth Sci Nursing CAS,Adventist University Health Sciences Nursing,Adventist University Health Sciences Nursing,not present,,Adventist U Hlth Sci Nursing CAS,
Adventist U Hlth Sci OTCAS,Adventist University Health Sciences,Adventist University Health Sciences,not present,,Adventist U Hlth Sci OTCAS,
Adventist U Hlth Sci PTCAS,Adventist University Health Sciences,Adventist University Health Sciences,not present,,Adventist U Hlth Sci PTCAS,
African American Inst,African American Institute,African American Institute,not present,,African American Inst,
Air Force Inst Technology,Air Force Institute Technology,Air Force Institute Technology,not present,Air Force Inst Technology,,
Air U,Air University,Air University,not present,,Air U,
Alabama Library Association,Alabama Library Association,Alabama Library Association,not present,Alabama Library Association,,
Alabama Public Library Service,Alabama Public Library Service,Alabama Public Library Service,not present,Alabama Public Library Service,,
Alaska Dept Edu & Early Dev,Alaska Dept Education & Early Dev,Alaska Dept Education & Early Dev,not present,Alaska Dept Edu & Early Dev,,
Albany Coll Pharmacy & Hlth Sci Pharm Grad,Albany College Pharmacy & Health Sciences Pharmacy & Graduate,Albany College Pharmacy & Health Sciences Pharmacy & Graduate,not present,Albany Coll Pharmacy & Hlth,Sci Pharm Grad,
Alverno Coll Sch Ed,Alverno College School Ed,Alverno College School Ed,not present,,Alverno Coll Sch Ed,
Amalgamated Lithographers Amer,Amalgamated Lithographers Amer,Amalgamated Lithographers Amer,not present,,Amalgamated Lithographers Amer,
Amer Council Learned Societies,Amer Council Learned Societies,Amer Council Learned Societies,not present,Amer Council Learned Societies,,
Amer Inst Aero Astronautics,Amer Institute Aero Astronautics,Amer Institute Aero Astronautics,not present,,Amer Inst Aero Astronautics,
Amer Intercont U Dunwoody,Amer Intercont University Dunwoody,Amer Intercont University Dunwoody,not present,,Amer Intercont U Dunwoody,
American Assocation U Women,American Assocation University Women,American Assocation University Women,not present,American Assocation U Women,,
American Baptist Seminary West,American Baptist Seminary West,American Baptist Seminary West,not present,,American Baptist Seminary West,
American Coll Acupuncture Oriental Med,American College Acupuncture Oriental Medical,American College Acupuncture Oriental Medical,not present,American Coll Acupuncture Oriental Med,,
American Coll Applied Science,American College Applied Science,American College Applied Science,not present,,American Coll Applied Science,
American Coll Traditional Chinese Med,American College Traditional Chinese Medical,American College Traditional Chinese Medical,not present,American Coll Traditional Chinese Med,,
American Conservatory Music,American Conservatory Music,American Conservatory Music,not present,American Conservatory Music,,
American Councils Intl Edu,American Councils International Education,American Councils International Education,not present,American Councils Intl Edu,,
American Friends Hebrew U,American Friends Hebrew University,American Friends Hebrew University,not present,,American Friends Hebrew U,
American Grad U,American Graduate University,American Graduate University,not present,,American Grad U,
American Islamic Inst,American Islamic Institute,American Islamic Institute,not present,American Islamic Inst,,
American Museum of Natl Hist,American Museum of Natl Hist,American Museum Natl Hist,not present,American Museum of Natl Hist,,
American Museum of Natl Hist MS Arts Tchng,American Museum of Natl Hist Arts Tchng,American Museum Natl Hist Arts Tchng,not present,American Museum of Natl Hist MS Arts Tchng,,
American Political Sci Assoc,American Political Sciences Assoc,American Political Sciences Assoc,not present,,American Political Sci Assoc,
American Psychological Asoc,American Psychological Asoc,American Psychological Asoc,not present,American Psychological Asoc,,
American Society Engnrng Educ,American Society Engineering Education,American Society Engineering Education,not present,American Society Engnrng Educ,,
American Sociological Assoc,American Sociological Assoc,American Sociological Assoc,not present,,American Sociological Assoc,
American U Art & Sci,American University Art & Sciences,American University Art & Sciences,not present,American U Art & Sci,,
American U Caribbean,American University Caribbean,American University Caribbean,not present,American U Caribbean,,
American U Caribbean Haiti,American University Caribbean Haiti,American University Caribbean Haiti,not present,,American U Caribbean,Haiti
American U Complementary Medicine,American University Complementary Medicine,American University Complementary Medicine,not present,American U Complementary Medicine,,
American U Kogod Business Online,American University Kogod Business Online,American University Kogod Business Online,not present,American U Kogod Business Online,,
American U Kogod Sch Business,American University Kogod School Business,American University Kogod School Business,not present,,American U Kogod Sch Business,
American U Leadership,American University Leadership,American University Leadership,not present,,American U Leadership,
American U Sch Intl Service,American University School International Service,American University School International Service,not present,U Sch Intl Service,American,
American U Sch Intl Service Intl Relations Online,American University School International Service International Relations Online,American University School International Service International Relations Online,not present,U Sch Intl Service Intl Relations Online,American,
American U Sch Public Affairs,American University School Public Affairs,American University School Public Affairs,not present,,American U Sch Public Affairs,
AMIDEAST,AMIDEAST,AMIDEAST,not present,,AMIDEAST,
Anderson U Falls Sch Business,Anderson University Falls School Business,Anderson University Falls School Business,not present,,Anderson U Falls Sch Business,
Anderson U School  Phys Therapy PTCAS,Anderson University School Physical Therapy,Anderson University School Physical Therapy,not present,Anderson U School  Phys Therapy PTCAS,,
Andover Newton Theological Sch,Andover Newton Theological School,Andover Newton Theological School,not present,,Andover Newton Theological Sch,
Angelo St u PTCAS,Angelo State u,Angelo State u,not present,,Angelo St u PTCAS,
Antioch U Midwest,Antioch University Midwest,Antioch University Midwest,not present,Antioch U Midwest,,
Antioch U New England,Antioch University New England,Antioch University New England,not present,Antioch U New England,,
Arcadia U Online Physical Therapy,Arcadia University Online Physical Therapy,Arcadia University Online Physical Therapy,not present,Arcadia U Online Physical Therapy,,
Arcadia U Phys Asst Prog CASPA,Arcadia University Physical Assistance Program,Arcadia University Physical Assistance Program,not present,,Arcadia U Phys Asst Prog CASPA,
Argosy U,Argosy University,Argosy University,not present,Argosy U,,
Argosy U Atlanta,Argosy University Atlanta,Argosy University Atlanta,not present,,Argosy U Atlanta,
Argosy U Chicago City Campus,Argosy University Chicago City Campus,Argosy University Chicago City Campus,not present,Argosy U Chicago City Campus,,
Argosy U Chicago NW,Argosy University Chicago NW,Argosy University Chicago NW,not present,Argosy U Chicago NW,,
Argosy U Hawaii,Argosy University Hawaii,Argosy University Hawaii,not present,Argosy U Hawaii,,
Argosy U Hawaii Sch Prof Psychology,Argosy University Hawaii School Professional Psychology,Argosy University Hawaii School Professional Psychology,not present,Argosy U Hawaii Sch Prof Psychology,,
Argosy U Online Prog,Argosy University Online Program,Argosy University Online Program,not present,Argosy U Online Prog,,
Argosy U Orange County,Argosy University Orange County,Argosy University Orange County,not present,Argosy U Orange County,,
Argosy U Tampa,Argosy University Tampa,Argosy University Tampa,not present,,Argosy U Tampa,
Argosy U Twin Cities,Argosy University Twin Cities,Argosy University Twin Cities,not present,Argosy U Twin Cities,,
Arizona State U West,Arizona State University West,Arizona State University West,not present,,State U West,Arizona
Arizona State U- Sandra Day O'Connor College of Law,Arizona State University- Sandra Day O'Connor College of Law,Arizona State University- Sandra Day O'Connor College Law,not present,Sandra Day O'Connor College of Law,State U,Arizona
Arkansas Tech U,Arkansas Technology University,Arkansas Technology University,not present,,Tech U,Arkansas
Arlington Baptist Coll,Arlington Baptist College,Arlington Baptist College,not present,,Baptist Coll,Arlington
Armstrong St U,Armstrong State University,Armstrong State University,not present,,Armstrong St U,
Armstrong St U CSDCAS,Armstrong State University,Armstrong State University,not present,,Armstrong St U CSDCAS,
