NAME,Institution Name,Place,Program
A T Still University Arizona,,Arizona,A T Still University
A T Still University Arizona School Health Sciences,University Arizona School Health Sciences,,A T Still
A T Still University Arizona School Health Sciences,University Arizona School Health Sciences,,A T Still
A T Still University Arizona School Health Sciences,University Arizona School Health Sciences,,A T Still
A T Still University School Health Management,University School Health Management,,A T Still
Academy Urban School Leadership Fellowship,Academy Urban School Leadership Fellowship,,
ACHE School Physical Therapy,ACHE School Physical Therapy,,
Acton School of Business,Acton School of Business,,
Adler School Professional Psychology,Adler School Professional Psychology,,
Adventist University Health Sciences,Adventist University Health Sciences,,
Adventist University Health Sciences,Adventist University Health Sciences,,
Adventist University Health Sciences Nursing,Adventist University Health Sciences Nursing,,
Adventist University Health Sciences,Adventist University Health Sciences,,
Adventist University Health Sciences,Adventist University Health Sciences,,
African American Institute,African American Institute,,
Air Force Institute Technology,Air Force Institute Technology,,
Air University,Air University,,
Alabama Library Association,Alabama Library Association,,
Alabama Public Library Service,Alabama Public Library Service,,
Alaska Dept Education & Early Dev,Alaska Dept Education & Early Dev,,
Albany College Pharmacy & Health Sciences Pharmacy & Graduate,Albany College Pharmacy & Health Sciences Pharmacy & Graduate,,
Alverno College School Ed,Alverno College School Ed,,
Amalgamated Lithographers Amer,,,Amalgamated Lithographers Amer
Amer Council Learned Societies,Amer Council Learned Societies,,
Amer Institute Aero Astronautics,Amer Institute Aero Astronautics,,
Amer Intercont University Dunwoody,Amer Intercont University Dunwoody,,
American Assocation University Women,American Assocation University,,Women
American Baptist Seminary West,,,Baptist
American College Acupuncture Oriental Medical,American College Acupuncture Oriental Medical,,
American College Applied Science,American College Applied Science,,
American College Traditional Chinese Medical,American College Traditional Chinese Medical,,
American Conservatory Music,American Conservatory Music,,
American Councils International Education,American Councils International Education,,
American Friends Hebrew University,American Friends Hebrew University,,
American Graduate University,American Graduate University,,
American Islamic Institute,American Islamic Institute,,
American Museum of Natl Hist,American Museum of Natl Hist,,
